"Country or Area Code","Country or Area","Year","Value","Value Footnotes","Unit"
"474","Martinique","2004","48.2000007629395","","%"
"474","Martinique","2001","44.3199996948242","","%"
"480","Mauritius","2015","25","","%"
"480","Mauritius","2014","24","","%"
"480","Mauritius","2013","23","","%"
"480","Mauritius","2012","22.2399997711182","16","%"
"480","Mauritius","2011","20.9799995422363","16","%"
"480","Mauritius","2010","20.1000003814697","16","%"
"480","Mauritius","2009","19.4599990844727","16","%"
"480","Mauritius","2008","19.3999996185303","17","%"
"480","Mauritius","2007","19.0499992370605","17","%"
"480","Mauritius","2000","20","","%"
"480","Mauritius","1999","15","","%"
"480","Mauritius","1998","10","","%"
"480","Mauritius","1997","10","","%"
"480","Mauritius","1996","10","","%"
"480","Mauritius","1995","10","","%"
"480","Mauritius","1990","10","","%"
"484","Mexico","2013","50.1914291381836","","%"
"484","Mexico","2012","47.4599990844727","","%"
"484","Mexico","2011","46.5","","%"
"484","Mexico","2010","44.7697715759277","","%"
"484","Mexico","2009","42.1493148803711","","%"
"484","Mexico","2008","40.2099990844727","","%"
"484","Mexico","2007","38.310001373291","","%"
"484","Mexico","2006","36.0999984741211","","%"
"484","Mexico","2005","35","","%"
"484","Mexico","2004","31.5","","%"
"484","Mexico","2003","29.7000007629395","","%"
"484","Mexico","2002","27.7000007629395","","%"
"484","Mexico","2001","25.2000007629395","","%"
"484","Mexico","2000","22.8999996185303","","%"
"484","Mexico","1993","21.7999992370605","","%"
"492","Monaco","2015","100","","%"
"492","Monaco","2014","100","","%"
"492","Monaco","2013","100","","%"
"492","Monaco","2012","100","","%"
"492","Monaco","2011","100","","%"
"492","Monaco","2010","100","","%"
"492","Monaco","2009","100","","%"
"492","Monaco","2008","100","","%"
"492","Monaco","2007","100","","%"
