GID,iso3,ID,subarea,hdi,population,fraction_urban_pop,fraction_pop_under5,sheddingRate_rota,shedding_duration_rota,incidence_urban_under5_rota,incidence_urban_5plus_rota,incidence_rural_under5_rota,incidence_rural_5plus_rota,sheddingRate_crypto,shedding_duration_crypto,incidence_urban_under5_crypto,incidence_urban_5plus_crypto,incidence_rural_under5_crypto,incidence_rural_5plus_crypto,flushSewer_urb,flushSeptic_urb,flushPit_urb,flushOpen_urb,flushUnknown_urb,pitSlab_urb,pitNoSlab_urb,compostingTwinSlab_urb,compostingTwinNoSlab_urb,compostingToilet_urb,bucketLatrine_urb,containerBased_urb,hangingToilet_urb,openDefecation_urb,other_urb,coverBury_urb,sewageTreated_urb,fecalSludgeTreated_urb,isWatertight_urb,hasLeach_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,flushSewer_rur,flushSeptic_rur,flushPit_rur,flushOpen_rur,flushUnknown_rur,pitSlab_rur,pitNoSlab_rur,compostingTwinSlab_rur,compostingTwinNoSlab_rur,compostingToilet_rur,bucketLatrine_rur,containerBased_rur,hangingToilet_rur,openDefecation_rur,other_rur,coverBury_rur,sewageTreated_rur,fecalSludgeTreated_rur,isWatertight_rur,hasLeach_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,FractionPrimarytreatment,FractionSecondarytreatment,FractionTertiarytreatment,FractionQuaternarytreatment,FractionPonds,fRemoval_treatment_virus,fRemoval_treatment_protozoa,fEmitted_inEffluent_after_treatment_virus,fEmitted_inEffluent_after_treatment_protozoa
GRL,GRL,92,Greenland,NA,56565,0.868151684,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,0.022727273,0.034090909,0.943181818,NA,NA,0.983181818,0.909772727,0.010136364,0.029204545
GTM,GTM,93,Guatemala,0.651,17245346,0.51053635,0.115284211,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.734,0.098,0,0.022,0,0.132,0.001,NA,NA,0,0,NA,0,0.013,0,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0.125,0.2,0,0.025,0,0.546,0.006,NA,NA,0,0,NA,0,0.099,0,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,0.794871795,0.205128205,0,NA,NA,0.791025641,0.582051282,0.197884615,0.341923077
GUF,GUF,94,French Guiana,NA,289763,0.853093735,0.119260618,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
GUM,GUM,95,Guam,NA,165718,0.94779686,0.080250973,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUY,GUY,96,Guyana,0.67,782225,0.26606539,0.093907768,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.074,0.768,0.013,0.001,0,0.14,0,NA,NA,0,0,NA,0,0.001,0.003,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0.002,0.62,0.019,0,0,0.346,0,NA,NA,0,0,NA,0.002,0.007,0.004,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
HKG,HKG,97,Hong Kong,0.939,7428887,1,0.048361155,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0178189,0.8829745,0.0169411,0.0169411,0.0169411,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.66,0.4,NA,NA,0.1,3,None,Fresh Urine,0.872340426,0.127659574,0,NA,NA,0.775531915,0.55106383,0.214734043,0.373297872
HMD,HMD,98,Heard Island and McDonald Islands,NA,NA,NA,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HND,HND,99,Honduras,0.623,9417167,0.570957486,0.102681196,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.644,0.208,0,0.017,0.001,0.107,0,NA,NA,0.006,0,NA,0,0.017,0,0.0858043,0.2265949,0.0327772,0.0327772,0.0327772,0.1,3,None,Fresh Urine,0.03,0.264,0,0.017,0.008,0.538,0,NA,NA,0,0,NA,0,0.142,0.001,0.9,0.0212822,0,NA,NA,0.1,3,None,Fresh Urine,0.775,0.225,0,NA,NA,0.795,0.59,0.1935625,0.333875
HRV,HRV,100,Croatia,0.837,4164783,0.569466885,0.044857242,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0580755,0.5441206,0.0404948,0.0404948,0.0404948,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.1965778,0.4,NA,NA,0.1,3,None,Fresh Urine,0.47826087,0.52173913,0,NA,NA,0.854347826,0.708695652,0.129021739,0.213695652
HTI,HTI,101,Haiti,0.503,11112945,0.552779484,0.110759864,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.006,0.245,0.023,0.001,0.001,0.517,0.098,NA,NA,0,0,NA,0.01,0.093,0.004,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0,0.028,0.002,0,0,0.359,0.237,NA,NA,0,0,NA,0.012,0.358,0.003,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
HUN,HUN,102,Hungary,0.845,9688847,0.71350719,0.047735538,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047063,0.8525052,0.047063,0.047063,0.047063,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1916059,0.5994743,0.1906479,0.1906479,0.1906479,0.1,3,None,Fresh Urine,0.114285714,0.4,0.485714286,NA,NA,0.946571429,0.864,0.039657143,0.066285714
IDN,IDN,103,Indonesia,0.707,266794980,0.553245065,0.086494526,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.095,0.792,0,0.058,0.003,0.013,0.003,NA,NA,0,0,NA,0.006,0.024,0.007,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0.135,0.579,0,0.029,0.003,0.049,0.016,NA,NA,0,0,NA,0.035,0.135,0.018,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMN,IMN,104,Isle of Man,NA,84831,0.525880869,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,IND,105,India,0.647,1354051854,0.340296985,0.084695026,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.225,0.505,0.078,0.027,0.002,0.042,0.005,NA,NA,0.001,0,NA,0,0.106,0.008,0,0.0883698,0.28,NA,NA,0.1,3,None,Fresh Urine,0.016,0.254,0.091,0.005,0.001,0.063,0.019,NA,NA,0.002,0,NA,0,0.543,0.007,0.3872204,0.0032375,0,0,0,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
IOT,IOT,106,British Indian Ocean Territory,NA,NA,NA,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRL,IRL,107,Ireland,0.942,4803748,0.631700081,0.06352085,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0208423,0.8428678,0.0208423,0.0208423,0.0208423,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5096749,0.2118234,0,0,0,0.1,3,None,Fresh Urine,0.029850746,0.791044776,0.179104478,NA,NA,0.95119403,0.891641791,0.027731343,0.032089552
IRN,IRN,108,Iran,0.797,82011735,0.74897885,0.09093095,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.39,0.005,0,0,0,0.594,0,NA,NA,0,0,NA,0,0,0.011,0,0.2969213,0.28,NA,NA,0.1,3,None,Fresh Urine,0.053,0.005,0,0,0,0.901,0,NA,NA,0,0,NA,0,0,0.041,0.9,0.0107172,0,NA,NA,0.1,3,None,Fresh Urine,0,1,0,NA,NA,0.95,0.9,0.025,0.02
IRQ,IRQ,109,Iraq,0.689,39339753,0.704727531,0.133766489,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.389,0.562,0,0,0.002,0.021,0.002,NA,NA,0,0,NA,0,0,0.025,0.1952533,0.1988707,0,0,0,0.1,3,None,Fresh Urine,0.028,0.702,0,0,0.008,0.154,0.03,NA,NA,0,0,NA,0,0.003,0.074,0.4151164,0.0347024,0,0,0,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
ISL,ISL,110,Iceland,0.938,337780,0.938128368,0.059894505,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.66,0.41,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.66,0.4,NA,NA,0.1,3,None,Fresh Urine,0.968253968,0.015873016,0.015873016,NA,NA,0.756984127,0.513015873,0.235261905,0.412142857
ISR,ISR,111,Israel,0.906,8452841,0.924176735,0.097952052,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00125,0.9358705,0.0011757,0.0011757,0.0011757,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0125,0.8935447,0.0117572,0.0117572,0.0117572,0.1,3,None,Fresh Urine,0.0625,0.416666667,0.520833333,NA,NA,0.958333333,0.885416667,0.02765625,0.0453125
ITA,ITA,112,Italy,0.883,59290969,0.704375383,0.038448953,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0247105,0.913828,0.0240516,0.0240516,0.0240516,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0291707,0.9033185,0.0283928,0.0283928,0.0283928,0.1,3,None,Fresh Urine,0.043478261,0.347826087,0.608695652,NA,NA,0.965652174,0.894782609,0.021673913,0.037608696
JAM,JAM,113,Jamaica,0.726,2898677,0.556741921,0.077950169,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.344,0.318,0.246,0.001,0.003,0.081,0.002,NA,NA,0,0,NA,0,0.002,0.004,0,0.1222953,0.28,NA,NA,0.1,3,None,Fresh Urine,0.073,0.217,0.333,0.003,0.001,0.362,0.004,NA,NA,0,0,NA,0,0.004,0.003,0.9,0.0254565,0,NA,NA,0.1,3,None,Fresh Urine,0.75,0.25,0,NA,NA,0.8,0.6,0.188125,0.32375
JEY,JEY,114,Jersey,NA,NA,NA,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JOR,JOR,115,Jordan,0.723,9903802,0.909789291,0.103705526,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.708,0.29,0,0,0,0,0,NA,NA,0,0,NA,0,0.002,0,0.0715118,0.6889953,0.0715118,0.0715118,0.0715118,0.1,3,None,Fresh Urine,0.227,0.751,0,0,0,0,0,NA,NA,0,0,NA,0,0.019,0.002,0.9,0.1250572,0,NA,NA,0.1,3,None,Fresh Urine,0.482142857,0.464285714,0.053571429,NA,NA,0.855714286,0.708214286,0.128741071,0.215267857
JPN,JPN,116,Japan,0.915,127185332,0.916155371,0.037781585,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.66,0.41,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.66,0.4,NA,NA,0.1,3,None,Fresh Urine,0,0.743243243,0.256756757,NA,NA,0.96027027,0.905135135,0.019608108,0.02
KAZ,KAZ,117,Kazakhstan,0.817,18403860,0.574280613,0.102264151,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,0.682,0.091,0.003,0,0,0.222,0,NA,NA,0,0,NA,0,0,0.001,0.1546609,0.5997312,0.150895,0.150895,0.150895,0.1,3,None,Fresh Urine,0.043,0.091,0.01,0,0,0.855,0,NA,NA,0,0,NA,0,0,0,0.4,0.0201686,0.4,NA,NA,0.1,3,None,Fresh Urine,0.815789474,0.184210526,0,NA,NA,0.786842105,0.573684211,0.202434211,0.350394737
KEN,KEN,118,Kenya,0.579,50950879,0.270295729,0.13100602,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.21,0.143,0.02,0.029,0.038,0.374,0.176,NA,NA,0,0,NA,0,0.01,0,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0.006,0.009,0.013,0.004,0.001,0.357,0.474,NA,NA,0.011,0,NA,0.005,0.118,0.004,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,0.6,0.4,0,NA,NA,0.83,0.66,0.1555,0.263
KGZ,KGZ,119,Kyrgyzstan,0.674,6132932,0.363507862,0.116528624,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.434,0.022,0.016,0,0,0.525,0,NA,NA,0,0,NA,0,0,0.002,0,0.3321959,0.28,NA,NA,0.1,3,None,Fresh Urine,0.013,0.003,0.011,0,0,0.971,0,NA,NA,0,0,NA,0,0,0.001,0.9,0.0019178,0,NA,NA,0.1,3,None,Fresh Urine,0.9,0.1,0,NA,NA,0.77,0.54,0.22075,0.3845
KHM,KHM,120,Cambodia,0.581,16245729,0.233878147,0.106404694,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.515,0.421,0,0,0,0.01,0,NA,NA,0,0,NA,0.004,0.051,0,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0.034,0.635,0,0,0,0.036,0.001,NA,NA,0,0,NA,0.006,0.286,0.001,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
KIR,KIR,121,Kiribati,0.623,118414,0.540569527,0.126919277,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
KNA,KNA,122,Saint Kitts and Nevis,0.777,55850,0.30775291,NA,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
KOR,KOR,123,South Korea,0.906,51164435,0.814593692,0.037000999,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.66,0.41,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.66,0.4,NA,NA,0.1,3,None,Fresh Urine,0,0.415730337,0.584269663,NA,NA,0.973370787,0.911685393,0.012730337,0.02
KWT,KWT,124,Kuwait,0.808,4197128,1,0.067833913,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.66,0.41,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.66,0.4,NA,NA,0.1,3,None,Fresh Urine,0.46,0.46,0.08,NA,NA,0.8612,0.7176,0.12337,0.2063
LAO,LAO,125,Laos,0.604,6961210,0.3500413,0.109529361,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.013,0.223,0.698,0.013,0.005,0.002,0,NA,NA,0,0,NA,0,0.042,0.003,0.6144936,0.0094397,0,0,0,0.1,3,None,Fresh Urine,0.009,0.055,0.571,0.015,0.009,0.005,0.004,NA,NA,0.001,0,NA,0,0.326,0.006,0.5545542,0.0032568,0,0,0,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
LBN,LBN,126,Lebanon,0.73,6093509,0.885928125,0.082943639,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,0.444444444,0.472222222,0.083333333,NA,NA,0.864444444,0.723888889,0.119916667,0.2
LBR,LBR,127,Liberia,0.465,4853516,0.511514127,0.146409705,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.02,0.444,0.09,0.001,0.002,0.119,0.089,NA,NA,0.002,0.006,NA,0.046,0.179,0.003,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0,0.029,0.046,0.001,0,0.122,0.137,NA,NA,0.004,0,NA,0.061,0.598,0.001,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBY,LBY,128,Libya,0.708,6470956,0.801019664,0.090812391,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,0.829268293,0.170731707,0,NA,NA,0.784146341,0.568292683,0.205365854,0.355853659
LCA,LCA,129,Saint Lucia,0.745,179667,0.186773308,0.058955829,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.11,0.738,0,0,0.002,0.084,0,NA,NA,0,0.011,NA,0,0.052,0.003,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0.038,0.71,0.004,0,0.002,0.235,0.001,NA,NA,0,0.001,NA,0,0.009,0,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
LIE,LIE,130,Liechtenstein,0.917,38155,0.1433626,NA,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.66,0.41,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.66,0.4,NA,NA,0.1,3,None,Fresh Urine,0,0.18556701,0.81443299,NA,NA,0.98257732,0.91628866,0.007896907,0.02
LKA,LKA,131,Sri Lanka,0.78,20950041,0.18475582,0.077541242,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.123,0.051,0.769,0.012,0,0.068,0.001,NA,NA,0,0.001,NA,0,0.004,0.005,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0.021,0.017,0.918,0.002,0,0.05,0.002,NA,NA,0,0,NA,0,0.012,0.002,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
LSO,LSO,132,Lesotho,0.518,2263010,0.281528142,0.118339486,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.019,0.039,0.009,0.001,0.001,0.647,0.192,NA,NA,0,0,NA,0,0.093,0,0,0.22,0.28,NA,NA,0.1,3,None,Fresh Urine,0.004,0.003,0.005,0,0.002,0.416,0.226,NA,NA,0,0,NA,0,0.344,0,0.9,0.22,0,NA,NA,0.1,3,None,Fresh Urine,1,0,0,NA,NA,0.75,0.5,0.2425,0.425
LTU,LTU,133,Lithuania,0.869,2876475,0.676787387,0.053307306,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.9515712,0,0,0,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0335151,0.7668689,0.0327729,0.0327729,0.0327729,0.1,3,None,Fresh Urine,0.054054054,0.202702703,0.743243243,NA,NA,0.968918919,0.893243243,0.021148649,0.041891892
LUX,LUX,134,Luxembourg,0.909,590321,0.909813474,0.053115455,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87E-05,0.9738622,1.87E-05,1.87E-05,1.87E-05,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0470271,0.7986541,0.046984,0.046984,0.046984,0.1,3,None,Fresh Urine,0.041237113,0.515463918,0.443298969,NA,NA,0.959484536,0.892371134,0.024659794,0.036701031
LVA,LVA,135,Latvia,0.854,1929938,0.681418263,0.060449517,1.00E+10,7,0.08,0.01,0.08,0.01,1.00E+09,7,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0020314,0.8979612,0.0019118,0.0019118,0.0019118,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0220274,0.7223682,0.0207295,0.0207295,0.0207295,0.1,3,None,Fresh Urine,0.030769231,0.384615385,0.584615385,NA,NA,0.967230769,0.899384615,0.019415385,0.032461538
MAC,MAC,136,Macao,NA,632418,1,0.055337557,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,None,Fresh Urine,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAF,MAF,137,Saint-Martin,NA,NA,NA,NA,1.00E+10,7,NA,NA,NA,NA,1.00E+09,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,MAR,138,Morocco,0.676,36191805,0.624526547,0.090083656,1.00E+10,7,0.24,0.01,0.24,0.01,1.00E+09,7,0.1,0.1,0.1,0.1,0.861,0.057,0.062,0,0,0.011,0,NA,NA,0,0,NA,0,0.007,0,0.0334944,0.3545457,0.014264,0.014264,0.014264,0.1,3,None,Fresh Urine,0.028,0.396,0.291,0,0,0.003,0,NA,NA,0,0,NA,0,0.277,0.003,0.9,0.000536,0,NA,NA,0.1,3,None,Fresh Urine,0.8,0.2,0,NA,NA,0.79,0.58,0.199,0.344
