sanitation_facility,category
Latrinas melhoradas,pitSlab
Latrina com fossa seca,pitSlab
Ordinary pit latrine,pitSlab
Ventilated improved privy,pitSlab
Traditional pip toilet,pitSlab
Ventilated improved latrine,pitSlab
Moulded latrine-Shared,pitSlab
Moulded latrine-Private,pitSlab
improved pit latrine (e.g.. vip),pitSlab
Covered pin latrine,pitSlab
Closed pit,pitSlab
21,pitSlab
22,pitSlab
Pit latrine (traditional),pitSlab
Pit latrine with slab (not washable),pitSlab
Pit latrine with slab (washable),pitSlab
Pit latrine with slab/ washable,pitSlab
Pit latrine with slab/non washable,pitSlab
"Uncovered pit latrine, with slab",pitSlab
"Covered pit latrine, with slab",pitSlab
Uncovered pit latrine with slab,pitSlab
Covered pit latrine with slab,pitSlab
Uncovered pit latrine - with slab,pitSlab
Covered pit latrine - with slab,pitSlab
Vent.imp.pit latrine,pitSlab
Traditional pit toilet/latrine,pitSlab
VIP,pitSlab
Ventilated improved pit/latrine (VIP Blair toilet),pitSlab
Non-VIP pit latrine with slab,pitSlab
Pit latrine (UBVIP),pitSlab
